listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles,price_log,nearest_bus_stop_miles_log,nearby_bus_stops_log,QoL_index
7066,38.90773,-77.22036,2350,23,13.2,0.4,16,0,2.68,7.762596048540069,0.33647223662121295,2.833213344056216,0.20681406433714108
7067,38.960945,-77.353592,4111,23,16.3,6.37,0,0,3.62,8.321664807135,1.9974177062012453,0.0,-0.34085180564051665
7068,38.724518,-77.134056,2440,28,14.8,0.5,7,0,1.03,7.80016307039296,0.4054651081081644,2.0794415416798357,-0.031300360185201964
7069,38.958378,-77.419533,2072,22,11.2,7.27,0,0,7.01,7.636752112435779,2.1126345090356,0.0,-0.5457477589476494
7070,38.90773,-77.22036,2380,23,13.2,0.4,16,0,2.68,7.7752758464868625,0.33647223662121295,2.833213344056216,0.2065828667430055
7071,38.949554,-77.349289,3277,23,14.2,5.56,0,0,3.18,8.094988759303774,1.8809906029559975,0.0,-0.40884095894520556
7072,38.869484,-77.23159,3235,23,14.7,0.22,37,2,0.02,8.082093278178382,0.1988508587451652,3.6375861597263857,0.7230474345196647
7073,38.946472,-77.411003,2415,22,14.2,6.34,0,0,6.46,7.789868559054706,1.9933388426264242,0.0,-0.3852226524316172
7074,38.794453,-77.186729,2299,28,12.3,0.05,47,0,2.01,7.7406644019172415,0.04879016416943201,3.871201010907891,0.13842237322097914
7075,38.869484,-77.23159,3355,23,14.7,0.22,37,2,0.02,8.118505067587098,0.1988508587451652,3.6375861597263857,0.7223835187266221
7076,38.90773,-77.22036,3305,23,13.2,0.4,16,0,2.68,8.10349427838097,0.33647223662121295,2.833213344056216,0.2005982830672026
7077,38.949554,-77.349289,2232,23,14.2,5.56,0,0,3.18,7.711101251840158,1.8809906029559975,0.0,-0.40184133099240177
7078,38.861073,-77.375313,2405,23,11.7,0.5,5,0,4.83,7.785720896534624,0.4054651081081644,1.791759469228055,0.001589100087281334
7079,38.850853,-77.351196,2455,23,13.0,0.05,21,0,3.38,7.806289289267033,0.04879016416943201,3.091042453358316,0.28752682122639245
7080,38.949684,-77.403282,3435,22,13.7,6.39,0,0,6.06,8.142063283104147,2.0001277349601105,0.0,-0.41610024195843415
7081,38.840771,-77.435074,2865,22,14.7,3.97,0,0,7.78,7.960672608388117,1.6034198401085373,0.0,-0.28301481208154244
7082,38.771103,-77.174377,2213,28,18.5,0.95,0,0,2.2,7.7025561132685825,0.6678293725756554,0.0,-0.15646916650633913
7083,38.900597,-77.204002,2490,23,11.0,0.17,12,0,2.16,7.820439515262181,0.15700374880966475,2.5649493574615367,0.11112620657644642
7084,38.951305,-77.406639,2725,22,15.8,6.56,0,0,6.25,7.9105906122564775,2.0228711901914416,0.0,-0.3199838291674209
7085,38.872765,-77.450546,3187,22,12.0,4.63,0,0,8.95,8.067149039910106,1.728109442151599,0.0,-0.43559795021830694
7086,38.771103,-77.174377,2145,28,18.5,0.95,0,0,2.2,7.671360923190644,0.6678293725756554,0.0,-0.1559003677821888
7087,38.793781,-77.298325,3168,24,17.2,0.23,23,0,1.97,8.06117135969092,0.20701416938432612,3.1780538303479458,0.41123170641079193
7088,38.83688,-77.42128,2577,22,15.2,3.4,0,0,7.03,7.8547691834991324,1.4816045409242156,0.0,-0.2323496320023407
7089,38.954105,-77.42688,3938,22,12.7,7.18,0,0,7.36,8.278682162970906,2.1016921506146558,0.0,-0.4860740849065775
7090,38.950304,-77.41569,2700,22,11.2,6.68,0,0,6.75,7.901377353792616,2.038619547159581,0.0,-0.5349506500980132
7091,38.830239,-77.294592,4500,23,9.2,0.24,20,1,0.54,8.412054873292933,0.2151113796169455,3.044522437723423,0.226167084637412
7092,38.845931,-77.142198,1898,28,18.3,0.08,40,1,0.41,7.549082710812286,0.07696104113612832,3.713572066704308,0.5590819094084609
7093,38.951305,-77.406639,2220,22,15.8,6.56,0,0,6.25,7.7057128238944275,2.0228711901914416,0.0,-0.3162481819623252
7094,38.872765,-77.450546,2405,22,12.0,4.63,0,0,8.95,7.785720896534624,1.728109442151599,0.0,-0.4304665191069067
7095,38.948738,-77.397652,2824,23,13.7,6.19,0,0,5.77,7.946263643580541,1.9726911717329554,0.0,-0.44850711434145685
7096,38.801121,-77.160873,2435,28,16.0,0.35,10,0,1.02,7.798112628829788,0.30010459245033805,2.3978952727983707,0.08328208472087392
7097,38.930614,-77.240852,1935,23,7.7,1.14,0,0,2.77,7.568379267836522,0.76080582903376,0.0,-0.4621021734009496
7098,38.801121,-77.160873,2313,28,16.0,0.35,10,0,1.02,7.746732907753622,0.30010459245033805,2.3978952727983707,0.08421891888416347
7099,38.790134,-77.075569,2114,28,14.3,0.35,20,0,2.87,7.656810091480378,0.30010459245033805,3.044522437723423,0.08281521013970974
7100,38.863243,-77.366379,2729,23,17.3,0.14,12,0,4.44,7.912056888179006,0.1310282624064041,2.5649493574615367,0.4050270450661127
7101,38.871311,-77.313599,2611,23,14.0,0.1,18,0,2.63,7.867871490396322,0.09531017980432487,2.9444389791664403,0.3055737174694553
7102,38.871096,-77.276437,3050,23,14.0,0.14,42,1,0.77,8.02322468471667,0.1310282624064041,3.7612001156935624,0.5554089966710052
7103,38.701183,-77.227943,2436,24,4.7,4.09,0,0,2.47,7.798523053625206,1.6272778305624314,0.0,-0.8290881823072972
7104,38.95015,-77.424637,2439,22,12.7,6.89,0,0,7.22,7.799753318287247,2.065596134857783,0.0,-0.46972281601129445
7105,38.949089,-77.338837,6934,23,15.0,5.36,0,0,2.62,8.844336332748933,1.8500283773520307,0.0,-0.37913242509035777
7106,38.763191,-77.139946,3025,28,13.5,2.51,0,0,1.11,8.014996894348302,1.2556160374777743,0.0,-0.5164579907963768
7107,38.90773,-77.22036,2340,23,13.2,0.4,16,0,2.68,7.75833346749091,0.33647223662121295,2.833213344056216,0.20689178627620577
7108,38.86108,-77.230629,2605,23,13.0,0.17,24,2,0.59,7.8655717576847906,0.15700374880966475,3.2188758248682006,0.6088333961333988
7109,38.968189,-77.366608,2225,23,16.5,7.21,0,0,4.47,7.70796153183549,2.105352923464337,0.0,-0.3432342877405022
