listing_db_id,latitude,longitude,cluster
20628,38.7797,-76.8687,277
20629,38.8813,-76.8249,2319
20630,38.8404,-76.8896,2332
20631,39.0037,-76.9266,562
20632,38.9846,-76.7321,1961
20633,38.9884,-76.8654,540
20634,38.7336,-76.9783,1742
20635,38.7681,-76.9891,467
20636,38.8937,-76.8515,2295
20637,38.8931,-76.8413,496
20638,38.9276,-76.888,2306
20639,38.7837,-77.0124,466
20640,38.9834,-76.8756,2154
20641,38.9623,-76.885,596
20642,38.7152,-76.9434,1676
20643,38.854,-76.8914,2322
20644,38.94,-76.9627,2549
20645,39.0565,-76.8345,258
20646,38.7298,-77.0179,1813
20647,38.7488,-76.9731,1742
20648,38.7694,-76.893,277
20649,38.789,-76.9993,466
20650,38.8402,-76.8845,2332
20651,38.8728,-76.892,2255
20652,38.7827,-77.01,466
20653,39.0059,-76.9717,2278
20654,38.9859,-76.7403,1961
20655,38.9433,-76.7241,309
20656,38.8491,-76.8906,542
20657,38.7085,-76.9995,299
20658,38.8772,-76.9233,2238
20659,38.8904,-76.8304,496
20660,38.867,-76.8388,2233
20661,38.7866,-76.9988,2125
20662,38.9788,-76.8802,2154
20663,39.0708,-76.9317,1967
20664,38.9321,-76.8059,1950
20665,38.9797,-76.9791,653
20666,38.94,-76.9627,2549
20667,38.9696,-76.9788,2502
20668,38.8404,-76.8507,2138
20669,38.8718,-76.89,2255
20670,38.7851,-76.9136,2160
20671,38.9152,-76.878,2316
20672,38.8997,-76.874,2248
20673,38.7914,-76.8224,1636
20674,38.6951,-76.9601,1676
20675,38.7513,-76.8858,277
20676,39.0518,-76.8242,259
20677,38.8927,-76.8537,2295
20678,38.9271,-76.847,2280
20679,38.672,-76.8703,1711
20680,39.0013,-76.9151,2228
20681,39.0292,-76.9225,563
20682,38.983,-76.7883,1999
20683,39.096,-76.8769,1787
20684,38.926,-76.8471,2280
20685,38.7683,-76.9525,1885
20686,38.9144,-76.8784,2316
20687,38.8668,-76.8389,2233
20688,38.7984,-76.9114,2175
20689,38.9263,-76.8462,2280
20690,38.941,-76.7192,309
20691,38.8917,-76.7257,1675
20692,39.1068,-76.8809,1806
20853,39.3673,-76.7214,1957
20693,38.7821,-76.9603,1885
20694,38.8271,-76.8452,2139
20695,39.0994,-76.8689,1789
20696,38.8975,-76.897,2224
20697,39.4623,-76.3072,175
20698,39.4766,-76.2498,179
20699,39.4623,-76.3072,175
20700,39.4766,-76.2498,179
20701,39.5307,-76.3401,172
20702,39.417,-76.2979,168
20703,39.4623,-76.3072,175
20704,39.4766,-76.2498,179
20705,39.5588,-76.3753,169
20706,39.4669,-76.3255,176
20707,39.417,-76.2979,168
20708,39.4623,-76.3072,175
20709,39.4766,-76.2498,179
20710,39.5307,-76.3401,172
20711,39.4623,-76.3072,175
20712,39.4253,-76.315,167
20713,39.5238,-76.1913,177
20714,39.4623,-76.3072,175
20715,39.5238,-76.1913,177
20716,39.5212,-76.1938,177
20717,39.4623,-76.3072,175
20718,39.4872,-76.2387,180
20719,39.5238,-76.1913,177
20720,39.4669,-76.3255,176
20721,39.5613,-76.1089,157
20722,39.4766,-76.2498,179
20723,39.4789,-76.2118,1419
20724,39.5238,-76.1913,177
20725,39.4273,-76.321,167
20726,39.4202,-76.3181,167
20727,39.5096,-76.1688,1456
20728,39.417,-76.2979,168
20729,39.4766,-76.2498,179
20730,39.4872,-76.2387,180
20731,39.5588,-76.3753,169
20732,39.5307,-76.3401,172
20733,39.4253,-76.315,167
20734,39.417,-76.2979,168
20735,39.5307,-76.3401,172
20736,39.5238,-76.1913,177
20737,39.4983,-76.3328,171
20738,39.4669,-76.3255,176
20739,39.5588,-76.3753,169
20740,39.417,-76.2979,168
20741,39.4623,-76.3072,175
20742,39.4766,-76.2498,179
20743,39.4623,-76.3072,175
20744,39.5588,-76.3753,169
20745,39.4623,-76.3072,175
20746,39.5588,-76.3753,169
20747,39.5238,-76.1913,177
20748,39.4623,-76.3072,175
20749,39.5307,-76.3401,172
20750,39.4872,-76.2387,180
20751,39.5588,-76.3753,169
20752,39.5307,-76.3401,172
20753,39.5307,-76.3401,172
20754,39.4766,-76.2498,179
20755,39.4766,-76.2498,179
20756,39.4623,-76.3072,175
20757,39.4872,-76.2387,180
20758,39.4669,-76.3255,176
20759,39.5307,-76.3401,172
20760,39.4623,-76.3072,175
20761,39.5238,-76.1913,177
20762,39.5307,-76.3401,172
20763,39.4872,-76.2387,180
20764,39.4917,-76.2242,1419
20765,39.4766,-76.2498,179
20766,39.4983,-76.3328,171
20767,39.4872,-76.2387,180
20768,39.5307,-76.3401,172
20769,39.4983,-76.3328,171
20770,39.4075,-76.3442,1500
20771,39.5307,-76.3401,172
20772,39.4623,-76.3072,175
20773,39.4766,-76.2498,179
20774,39.4766,-76.2498,179
20775,39.417,-76.2979,168
20776,39.417,-76.2979,168
20777,39.4766,-76.2498,179
20778,39.4623,-76.3072,175
20779,39.5394,-76.3515,173
20780,39.4669,-76.3255,176
20781,39.4983,-76.3328,171
20782,39.4872,-76.2387,180
20783,39.5307,-76.3401,172
20784,39.4872,-76.2387,180
20785,39.4872,-76.2387,180
20786,39.4766,-76.2498,179
20787,39.4623,-76.3072,175
20788,39.5588,-76.3753,169
20789,39.5307,-76.3401,172
20790,39.552,-76.0976,157
20791,39.5307,-76.3401,172
20792,39.4983,-76.3328,171
20793,39.4238,-76.2967,168
20794,39.4872,-76.2387,180
20795,39.5394,-76.3515,173
20796,39.5219,-76.1643,1456
20797,39.514,-76.1739,1456
20798,39.5212,-76.1938,177
20799,39.5212,-76.1938,177
20800,39.4623,-76.3072,175
20801,39.5307,-76.3401,172
20802,39.4766,-76.2498,179
20803,39.5307,-76.3401,172
20804,39.4872,-76.2387,180
20805,39.417,-76.2979,168
20806,39.4766,-76.2498,179
20807,39.5212,-76.1938,177
20808,39.4253,-76.315,167
20809,39.4872,-76.2387,180
20810,39.4669,-76.3255,176
20811,39.417,-76.2979,168
20812,39.5307,-76.3401,172
20813,39.5238,-76.1913,177
20814,39.4623,-76.3072,175
20815,39.417,-76.2979,168
20816,39.566,-76.3706,169
20817,39.4981,-76.3329,171
20818,39.5238,-76.1913,177
20819,39.5307,-76.3401,172
20820,39.4623,-76.3072,175
20821,39.3946,-76.5462,2018
20822,39.4979,-76.7874,1765
20823,39.2326,-76.4559,1646
20824,39.412,-76.8165,1938
20825,39.245,-76.5133,319
20826,39.3794,-76.5666,465
20827,39.394,-76.5624,464
20828,39.567,-76.6742,1553
20829,39.3791,-76.5771,465
20830,39.3653,-76.7592,1936
20831,39.3498,-76.4444,1809
20832,39.3653,-76.7592,1936
20833,39.2391,-76.4344,1647
20834,39.2762,-76.7146,533
20835,39.3955,-76.5621,2021
20836,39.4105,-76.7107,1653
20837,39.2928,-76.7712,317
20838,39.4165,-76.5302,442
20839,39.4138,-76.5353,442
20840,39.4108,-76.4665,1781
20841,39.3013,-76.7173,447
20842,39.3948,-76.8501,379
20843,39.2702,-76.5085,1963
20844,39.5098,-76.6428,234
20845,39.3771,-76.5229,1988
20846,39.2561,-76.6998,332
20847,39.3425,-76.4419,1808
20848,39.3653,-76.7592,1936
20849,39.4168,-76.4782,1781
